title,abstract,IPC
Percussion unit and method.,"Percussion unit (10a-c), especially for a rotary hammer and/or percussion hammer (12a; 12c), comprising a control unit (14a; 14c) which is designed for open-loop and/or closed loop control of a pneumatic percussion mechanism (16a; 16c), and at least one operating condition sensor unit (18a). According to the invention, the control unit (14a; 14c) is designed to detect at least one percussion mechanism parameter depending on measurement values of the operating condition sensor unit (18a).",B23Q
Material processing unit controlled by rotation,"An interchangeable unit adapted to couple to a computer numerical control (“CNC”) machine is disclosed comprising a holder that couples to a spindle of the CNC machine, a controller, wherein said controller is configured to receive the rotational speed of the spindle as an input, and a material processing unit, wherein said material processing unit executes a first function in response to a first rotational speed range of the spindle and executes a second function in response to a second rotational speed range of the spindle.",B23B
Tool changer of machine tool,"To provide a tool changer of a machine tool that makes it possible to surely execute machining as designated in a machining program without any need for the editing of the machining program or the replacement of tools and without complicating the device structure. The tool changer  11 includes a tool correspondence table A showing a correspondence relation between a program-designated tool T0001 designated in a machining program O0001 and an actual use tool T0003 actually used according to the machining contents designated in the machining program, wherein the actual use tool corresponding to the program-designated tool is found by using the tool correspondence table A and the found actual use tool is decided as a subsequent process tool.",B23Q
Feedback control numerical machine tool and method thereof,"A feedback control numerical machine tool and a method thereof are provided. The machine tool includes at least two spindles, an acoustic frequency detecting module, at least two spindle position detecting modules, and a control module. The spindles machine a workpiece. The acoustic frequency detecting module detects an acoustic frequency of the spindles when machining the workpiece. The spindle position detecting modules detects position information of the spindles when machining the workpiece. The control module acquires the acoustic frequency and the position information of the spindles, monitors whether any of the spindles chatters according to the acoustic frequency of the spindles, and performs chattering avoidance to the spindle that chatters according to the position information of the spindles. As such, the present disclosure performs chattering monitoring to a plurality of spindles and avoids the chattering immediately.",B23Q
Method and device for improving the quality of the weld seam in friction stir welding,"A method and a device for improving the quality of the weld seam in friction stir welding is provided. The process of friction stir welding is effected by means of a friction welding tip, in which a spiral conveyor screw is provided in the spindle bearing. The longitudinal axis of the spindle bearing is inclined at an angle to the vertical. The sliding surface of the rotating spindle consists of a flat sliding surface and, for the welding of curved seams, in each case of a sliding surface inclined at an acute angle to the sliding surface, the friction welding tip is designed in the shape of a truncated cone. The lateral surface of the truncated cone is formed by six trapezoidal planar parts, of which three planar parts each uniformly distributed at the circumference lie at an angle of 120 degrees with respect to one another and account for a proportion greater than ⅙ at the circumference.",B23K
Readjustment system,"The invention relates to a readjustment system that comprises an advancing head, wherein a tool can be moved in an advancing direction by a tool slide which is adjusted by means of at least one piezo actuator.",B23B
Systems and methods for wireless control of an engine-driven welding power supply,"Embodiments described herein include wireless control of a welding power supply via portable electronic devices. In particular, operating parameters and statuses of the welding power supply may be modified by the portable electronic device, as well as be displayed on the portable electronic device. For example, in certain embodiments, the welding power supply may be an engine-driven welding power supply, and the portable electronic device may be configured to start and/or stop an engine of the engine-driven welding power supply. A pairing procedure may be used to pair the welding power supply and the portable electronic device in a wireless communication network. Furthermore, in certain embodiments, a method of prioritization of control between a control panel of the welding power supply and the portable electronic device may be implemented.",B23K
SYSTEMS FOR PROVIDING AN IMPROVED START IN WELDING PROCESS WITH PROVISION OF A PULSE PERIOD AT THE START,Systems and methods for providing an improved start in a welding process are provided. The system includes a power circuit and a control circuit. The power circuit generates welding output power for a welding process. The control circuit controls the start of the welding process by generating a current pulse.,B23K
Device and method for detecting the position of an object in a machine tool,A device for detecting the position of an object in a machine tool includes a camera configured to provide an image of the object and an object carrier to which the object is connected and whose position within the machine tool is known. A first processing unit is configured to identify a position of the object relative to the camera based on geometric features of the object which are obtained from the image. A second processing unit is configured to identify a position of the object carrier relative to the camera based on geometric features of the object carrier which are obtained from the image. A third processing unit is configured to determine a position of the object relative to the object carrier from the identified positions of the object and the object carrier relative to the camera.,B23Q
System for a welding sequencer,"The invention described herein generally pertains to a system and method for evaluating one or more conditions or preliminary weld condition related to a welding system and/or method that utilizes a welding sequence to perform two or more welds with respective welding schedules. In an embodiment, an operator registration is provided that verifies the operator and identifies welding sequences to which the operator is authorized to perform. In another embodiment, one or more fixture locations are monitored to determine whether a workpiece is accurately configured prior to a welding operation. In still another embodiment, locations on a workpiece can be displayed to assist an operator in performing two or more welds utilizing a welding sequence. Moreover, a wireless system communications a data signal to a welding work cell in which such data is used to identify a welding sequence.",B23K
Microwave plasma apparatus and method for materials processing,"A microwave plasma apparatus for processing a material includes a plasma chamber, a microwave radiation source, and a waveguide guiding microwave radiation from the microwave radiation source to the plasma chamber. A process gas flows through the plasma chamber and the microwave radiation couples to the process gas to produce a plasma jet. A process material is introduced to the plasma chamber, becomes entrained in the plasma jet, and is thereby transformed to a stream of product material droplets or particles. The product material droplets or particles are substantially more uniform in size, velocity, temperature, and melt state than are droplets or particles produced by prior devices.",B23K
Cut length indicating device,"A cut length indicating device for a portable machine tool includes at least one indication unit. The indication unit has at least one movably mounted indication element that is configured to indicate at least one position of a cutting edge of a machining tool on a work piece to be machined with reference to a set cutting depth of the machining tool. The indication element further has a cutting edge indication line, which runs at least substantially transversely to a movement plane of the indication element in order to indicate the position of the cutting edge in at least one operating state.",B23B
Methods for manufacturing parts in CNC machines,"This application relates to methods for applying automated precision machining operations to an oversized workpiece with a compact computer numerical control (CNC) machining apparatus. By shifting an oversized workpiece through a working area of the CNC machining apparatus, the CNC machining apparatus can apply machining operations to any portion of the workpiece in an automated manner. To achieve precision results, a position of the workpiece is tracked as the workpiece is shifted through the working area. In some embodiments, a probe can be utilized to track the shifting of the workpiece by determining a location of a machined feature after a particular shift has been completed. In this way, a position of the workpiece can be tracked without having to rely upon tolerances inherent to a workpiece manipulator.",B23Q
machine control,"The invention relates to a machine controller which is in mutual communication with a plurality of peripheral devices and issues machining program instructions thereto. The controller receives work status information about the peripheral devices, calculates the total power consumption by the plurality of peripheral devices based on the received information, and sets, in a processing program for each peripheral device, a range in which work start is permitted so that the total power consumption value of the peripheral devices upper limit not reached.",B23Q
Rotary workhead device,"The rotary workhead device, which is loaded on the table of a machine tool and onto which a workpiece to be machined is rotatably mounted, is equipped with: a base plate that is attached to the table of the machine tool; two rotary workheads that are provided on the base plate and disposed so that the axes of rotation coincide and the workpiece-fixing parts face each other; a guide means that is provided so as to be capable of moving at least one of the rotary workheads back and forth in the direction of the rotation axes; and an impelling means for impelling the one rotary workhead in a direction that separates or brings together the two rotary workheads. The rotary workhead device applies a tensile force or a compressive force on a workpiece, the respective ends of which are fixed between the two rotary workheads.",B23B
Numerical control device,"Numerical control device (10, 10i) that numerically controls a machine comprising a tool, a linear axis, and a rotation axis based on a machining program containing a command for a tool distal end position determined by a position of the linear axis, and a command for a tool posture determined by a rotation angle of the rotation axis, wherein the numerical control device (10, 10i) comprises:  a program input unit (2) which reads a tool distal end position and a tool posture named in continuous blocks in the machining program and generates named position sequences of the linear axis and named position sequences of the rotary axis;  a distal end position curve generating unit (4) which generates a tool distal end position curve relating to the tool distal end position on the basis of the generated named position sequences of the linear axis;  a tool position curve generation unit (5, 5i) which, on the basis of the generated named position sequences of the linear axis and the generated named position sequences of the axes of rotation, generates a tool position curve relating to the tool position associated with movements of the tool distal end position;  an interpolation calculation unit (6) which, with each interpolation cycle,  calculates an interpolation point of the tool distal end position from the tool distal end position curve,  an interpolation point of the tool position is calculated from the tool position curve, and  calculates an interpolation point of a machine position of the linear axis in accordance with the interpolation point of the tool distal end position and the interpolation point of the tool posture; and  an interpolation output unit (7) which  moves the linear axis to the calculated interpolation point of the machine position and  moves the axis of rotation to the calculated interpolation point of the tool position,  wherein the distal end position curve generating unit (4) generates the tool distal end position curve on the basis of the generated named position sequences of the linear axis, so that the second derivative of the curve is continuous,  the tool position curve generating unit (5, 5i) generates the tool position curve on the basis of the distance between the named position sequence in a space in which the linear axis and the axis of rotation are combined so that the second derivative of the curve is continuous.",B23Q
Numerical control apparatus,"A numerical control apparatus that controls a machine tool including a plurality of linear axes and rotation axes, and controls a relative tool posture with respect to work on a table includes a program reading unit that sequentially reads a tool posture with respect to the work from a machining program, a determining unit that determines whether the read tool posture is within a predetermined tool posture range, a tool-posture control unit that determines control content of the tool posture according to the determination by the determining unit, and an interpolation/acceleration and deceleration processing unit that controls the linear and rotation axes according to the control content of the tool posture. When the read tool posture is within the predetermined range, the tool-posture control unit determines rotation axis angles of the rotation axes such that a change of tool posture from the last tool posture is limited.",B23Q
APPARATUS FOR MOUNTING AN ACCESSORY TO A COORDINATE POSITIONING APPARATUS,"An apparatus for mounting a coordinate positioning apparatus accessory, such as a tool setter(22), to the workpiece mounting surface of a coordinate positioning apparatus, the workpiece mounting surface having a slot(18) formed in it. The apparatus comprises an insert(40, 401) for inserting into the slot(18) of the workpiece mounting surface, and a mount(24) attachable to a coordinate positioning apparatus accessory. The insert(40, 401) comprises means for fixing the insert(40, 401) within the slot(18); the insert(40, 401) is substantially contained within the slot(18) when inserted therein. The mount(24) comprises at least one protruding member(30, 32, 422) for engaging the insert(40, 401) when contained within the slot(18), thereby fixing the mount(24), and therefore any coordinate positioning apparatus accessory attached to the mount(24), to the workpiece mounting surface of the coordinate positioning apparatus.",B23Q
Method and system for marking a material using a laser marking system,"A laser marking system for marking a length of material includes a laser device for emitting a marking beam. A motor moves the length of material relative to the laser device. A sensing system detects a predetermined movement of the length of the material and provides a speed signal and a distance signal, and a controller is provided in operative communication with the sensing system and the laser device for receiving the speed signal and the distance signal and responsively directing the marking beam of the laser system onto the length of material in a predetermined pattern.",B23K
Method for selection of weld control algorithms,A system and method for generating a weld are provided. The system receives a selection of a magnitude of a voltage. The system selects a first weld control algorithm when the magnitude of the voltage is in a first range of values. The system may also select a second weld control algorithm when the magnitude of the voltage is in a second range of values. The system may generate welding output power based on the first and second weld control algorithms.,B23K
Device for diamond-burnishing of holes,"Various kinds of finishing and hardening treatments of holes by methods of plastic surface deformation can find application in many branches of engineering industry. In particular for burnishing holes on a milling or drilling machine tool. A device for diamond-burnishing of holes increases the functional possibilities, improves the quality of the treated hole surface and the endurance of the burnishing tool, provides the opportunity for a precise regulation in order to get the necessary hole caliber, and uses the load of all the weights for obtaining the necessary pressing force. The device structure comprises a housing with a tapered stem, central and terminal arms with crossheads and shafts, bars with weights, a foot with a cylindrical body, and an arbor with a diamond-burnishing tool.",B23P
SHOP ORDER STATUS VISUALIZATION SYSTEM,A method and apparatus for visualizing an assembly (144) of parts (106) for an aircraft (104). A shop order instance (250) is identified for the assembly (144) of parts (106) for the aircraft (104). A volume (219) is identified for the shop order instance (250). The assembly (144) of parts (106) is displayed within the volume (219) in context with a number of assemblies (142) of other parts (106) within the volume (219).,B23Q
"METHOD FOR PRODUCING STRUCTURES OR CONTOURS ON A WORKPIECE, AND MOULDER","In a moulder, at least one rotatably driven tool (7, 8, 10, 11) is used to produce the structure (27) or contour on the workpiece (1) by workpiece removal. The workpiece positions along the workpiece (1) for producing the structure or contour are set depending on the data of the workpiece (1) and of the tool (7, 8, 10, 11). The data are transmitted to the machine controller which processes the CNC program based on the data during the passage of the workpiece (1) through the moulder and moves the tool (7, 8, 10, 11) into the required positions via CNC drives depending on the workpiece position. The workpiece position is sensed during the passage of the workpiece (1) through the moulder. In order to sense the workpiece position in the moulder, at least one measuring element (18) is provided upstream and downstream of the tool (1), said measuring element (18) being connected to the machine controller and supplying signals that describe the advancing travel of the workpiece (1) to the machine controller. By way of the machine controller, the tool (7, 8, 10, 11) is moved into the respective tool positions in accordance with the signals.",B23Q
INTERFERENCE DETERMINATION METHOD AND INTERFERENCE DETERMINATION DEVICE FOR MACHINE TOOL,"An interference determination method for machine tools which determines whether or not there will be interference between elements that move relative to each other, the method including: a setting procedure for setting a machine tool model (MA) obtained by combining the shape model (M) of each of the elements including a work model (M1) corresponding to the work (W); a measurement procedure for measuring the position of the work (W) attached to the work attachment part (4); a correction procedure for acquiring, at a predetermined timing, the position of the work (W) measured in the measurement procedure, and correcting the machine tool model (MA) set in the setting procedure; and a determination procedure for determining whether or not there will be interference between the elements on the basis of the machine tool model (MA') corrected in the correction procedure.",B23Q
Automatic balancing device for boring heads,A boring head includes a housing having a first end configured to be coupled to a machine tool and a second end positioned opposite from the first end with the housing defining a central passageway. The boring head also includes a diameter adjustment mechanism comprising a sliding holder received by the housing and movable relative to the housing with the sliding holder configured to be coupled to a cutting insert and a balancing mechanism having a balancing mass. The balancing mechanism is configured to move the balancing mass when the sliding holder is moved. The balancing mass is aligned with the sliding holder in a direction extending about perpendicular to a longitudinal axis of the housing.,B23B
DEVICE FOR COMPENSATING OFFSET IN AUTOMATIC LOCKING SYSTEMS,"A device (1) for compensating the offset in automatic locking systems for the mounting of blanks (2) provided with a first hole (3), for a fixing element (4), at the end of which there is a first seat (6) for a centering bush (7), the device being constituted by a box-like body (10) composed of a T-shaped hollow body (11) and a U-shaped base (12), which form an inner seat (13) for a frustum-shaped jacket (14), which is arranged coaxially to the shank (15) of the hollow body (11) and above a piston (16), which can move transversely to the shank (15), a traction element (40) being slideably arrangeable in the shank (15) of the hollow body (11) and being axially integral with the fixing element (4), the centering bush (7) being associated in an upper region and coaxially therewith and being arrangeable at the first seat (6), which has a larger diameter than the first fixing hole (3) and is provided eccentrically to the latter, the traction element (40) cooperating selectively with balls (31) which can be accommodated within adapted openings (29) provided in the shank (15) and within adapted second seats (33) provided on the jacket (14), elastically compressible elements (36) being arranged between the head (21) of the hollow body (11) and the jacket (14), means being provided to allow a temporary axial movement of the piston.",B23B
Welding system and method of welding,A three stage power source for an electric arc welding process comprising an input stage having an AC input and a first DC output signal; a second stage in the form of an unregulated DC to DC converter having an input connected to the first DC output signal and converts the first DC output signal to a second DC output signal of the second stage; and a third stage to convert the second DC output signal to a welding output for welding wherein the input stage and the second stage are assembled into a first module within a first housing structure and the third stage is assembled into a second module having a separate housing structure connectable to the first module with long power cables. The second module also includes wire feeding systems and electronics.,B23K
ASSISTANCE SYSTEM FOR STEERING A MACHINE TOOL,"The invention relates to systems for steering machine tools and in particular to systems that display information to an operator of the machine tool. Such a system comprises a manually controlled cutting tool. The system receives data that defines a model of a desired cut to be made on a workpiece by the cutting tool. The system receives further data related to the current position of the cutting tool in, at least, two dimensions. A processor generates from the received data a display. The display shows the desired cut to be made and a cutting tool icon at the current position of the cutting tool relative to the desired cut. The display also shows an indication of the current error between either the current position, or direction of travel, of the cutting tool and the desired cut. An operator does not need to look at the workpiece, a drawing and the Digital Read Out simultaneously as with existing systems.",B23Q
Utility routing for a door-mounted icemaker,"Utility routing for door-mounted operations are disclosed. An appliance (10) may include a cabinet (12) and one or more doors (18) connected to the cabinet. An apparatus (20) may have a mounted position on the door (18). An operation apparatus (20,110) may be enabled, supported, or otherwise made operable in part by closed-looped conveyance (16,106) of one or more operating mediums. The apparatus has an unmounted position wherein the apparatus is separated from the door while maintaining the closed-loop conveyance of the one or more operating mediums.",B23P
Controller for spindle motor,"A controller has a varying speed signal generation unit generating a varying speed command signal varying at predetermined amplitude and period, a current control unit generating a current command signal based on the varying speed command signal, a feedback control unit generating a correction signal based on a deviation between the varying speed command signal and a present rotational speed of the spindle motor and adding the correction signal to the current command signal, and a learning control unit calculating a disturbance component caused by cutting resistance based on the deviation every predetermined rotation angle of the spindle motor and, in synchronism with a rotation angle of the spindle motor corresponding to the varying speed command signal input into the current control unit, generating a compensation signal based on the disturbance component corresponding to the rotation angle and adding the compensation signal to the varying speed command signal.",B23Q
Mirror feature in devices,Various processes for creating mirrored features are discussed herein as well as devices that include the mirrored features. One embodiment includes a button having a transparent layer and an opaque layer coupled to the transparent layer. A portion of the transparent layer extends through the opaque layer so that the portion of the transparent layer is flush with a back surface of the opaque layer and generally has a shape of a desired feature. The button also includes a reflective object positioned so that it may be seen through the transparent layer.,B23B
Method of machining a part,The method can include: assembling the part to be machined to a pallet into an assembly; measuring a centering of the part relative to the pallet; adjusting the centering of the part relative to the pallet based on said measuring; repeating the steps of measuring and adjusting until determining that the part is centered based on said measuring; and mounting the centered assembly to an automatic machining device and machining the part of the centered assembly with the automatic machining device.,B23Q
BUILT-IN TYPE VISION BASED INSPECTION TOOL FOR AUTONOMOUS SETTING OF INITIAL ORIGIN,"The present invention relates to a vision based inspection tool (1000) for setting of an initial origin of an automation machine tool, and more particularly, to a built-in type of vision based inspection tool for setting of an initial origin capable of improving setting precision of a current automation machine tool that depends on initial setting and increasing productivity depending on individual automatic setting by automatically sensing a machining origin in order to perform initial machining and re-machining of an existing workpiece using an automation machine tool and compensating for the machining origin to eliminate a time required for setting machining origins for various shapes in a jog mode. The vision based tool is configured to comprise a chuck (100) provided in a machine tool and an image part (400) to perform auto-focusing and obtaining an image of a workpiece.",B23Q
Gas turbine engine vane assembly and method of mounting same,"The gas turbine engine vane assembly has a vane having an elongated airfoil body extending to a tip and a grommet disposed around the tip. An insert having a closed loop shape with an inner surface matingly shaped to receive the outer surface of the grommet, and an outer surface matingly shaped to be snugly received in the slot. A method of mounting such a vane assembly is also disclosed.",B23P
a method of monitoring and regulating the quality of the welding point,"The invention claims a method for quality of welding point to processing for monitoring and/or regulating the processing island comprises at least two a welding control mechanism disposed on the one or more work pieces, wherein the method is based on the following process modes: comparing the measured value by the central control mechanism of said processing island and output fault information, are in communication connection with each welding control mechanism wherein the central control mechanism, which is used for all the measurement values and a predefined tolerance intervals to correspondingly control the welding control mechanism. wherein said welding control mechanism are in communication connection.",B23K
System and method for real-time computation and reporting of welding machine performance and metrics,A welding or cutting system is provided using a performance module which monitors the real-time performance of a welding or cutting system and displays this information on a user interface on the system. Other embodiments of the system also include a cost calculation function in which a cost of the welding or cutting operation is calculated.,B23K
method of correcting the rotation angle command value,"The invention claims a tooth period in the any one of a tooth period error pattern for any one of a tooth period to correct the rotation angle command value, even if the error pattern when the detection conditions are different but not at the same time, it can rotate high-accuracy correction method of correcting the angle command value of the rotation angle instruction value. using the magnetic detection device (9) detecting the periphery having a plurality of teeth (8a) formed at a predetermined pitch of the rotation angle of the detecting gear (8); When in error correction of the actual rotational angle based on the detected rotation angle to the first main shaft 3a and the rotation angle command value of the instruction (α), calculating rotation detecting the rotation angle and the error of the actual rotation angle is positive direction a tooth period error pattern (F), and the reverse rotation when the error pattern which is negative direction a tooth period error pattern (F '); (F) based on the error pattern when the positive rotating, correcting the rotation angle command value (α) based on the error pattern (F ') when the reverse rotation.",B23Q
Controller for machine tool,"A machine tool controlled by a numerical controller is provided with an additional-axis composed of a tilting table and a rotary table. The controller displays, in a display section thereof, a diagram representative of an actual state in which an additional shaft is mounted so that an operator can select how to mount the additional shaft on the machine tool and collectively set parameters based on the selection.",B23Q
System and method for controlling and coordinating welding-type processes and gouging-type processes,"A multi-operational welding-type system including a user interface supported by a support structure and including a first user interface device moveable between a welding position, a gouging position, and an off position, and a second user interface device configured to alter operation parameters of the multi-operational welding-type system. A controller is supported by the support structure and monitors the position of the first user interface device and utilizes the operational parameters supplied via the second user interface device. The multi-operational welding-type system may perform only one of a gouging-type process and a welding-type process at a given time depending on the position of the first user interface device.",B23K
Machining assistance method and the apparatus using the same,"A machining assistance method and an apparatus using the same are provided. The machining assistance method comprises following steps. Firstly, a circle correction path is received for driving a platform to perform a circular motion. Next, a driving torque of the server driver driving the platform is obtained. Then, whether the driving torque is changed to 0 is determined; if yes, a first position of the platform is recorded. Then, whether the driving torque is changed to a peak is determined; if yes, a second position of the platform is recorded. After that, the server driver is controlled to drive the platform according to a first position and a second position in a machining process.",B23Q
A portable machine tool of machine tool braking device and a portable machine tool,"The invention claims a portable tool brake device for a machine tool, in particular a hand-held tool machine braking device, which has at least one magnetic field brake unit (14a;14b). The invention claims the magnetic field braking unit (14a; 14b) comprises at least one pawl section element (16a;16b) which can be movably supported for changing the magnetic field of at least one characteristic parameter of said magnetic brake unit (14a;14b).",B23Q
Backlash automatic detection system for machine tool and method using the same,"A backlash automatic detection system comprises a control device and a machine tool. The machine tool comprises a servo driver, a lead screw, a nut seat and a platform. The method comprises: entering an initial state and outputting a control command to the servo driver through the control device; driving the lead screw by the servo driver to move the nut seat towards a first direction and changing the movement direction of the nut seat towards a reverse second direction by the servo driver; defining a backlash phenomenon period according to one time point at which the nut seat starts to move towards the second direction and another time point at which the platform is driven to move by the nut seat; defining the displacement of the nut seat corresponding to the backlash phenomenon period as a backlash value.",B23Q
Machine tool with thermal displacement correction,"A machine tool includes a shaft load measuring unit measures a load of the main shaft motor. When a measured load of the main shaft motor exceeds a predetermined value, it is determined that a tool is brought into contact with a work. Detection and correction of thermal displacement of the main shaft are performed by comparing a reference time and a measured time for the tool to reach the work.",B23Q
comprising a machine tool of a longitudinal guide rail and a transverse arm,"The invention claims a machine tool suitable for performing operations on the surface of large-size part (P), in particular processing. The machine tool comprises a longitudinal guide rail (1) and a transverse arm (3) and the longitudinal guide rail (1), the transverse arm (3) fastened to the longitudinal guide rail (1) at the first end (31) in a sliding manner. the transverse arm (3) of the second end (32) is provided with a unit (5), the unit (5) comprises in the operation process unit (5) on the component (P) in place of the holding device. Thus, the tool carrier (4) of the transverse arm (3) is accurately located on the component (P) on which to operate.",B23Q
A robot control arrangement provided in a processing arrangement comprising a robot and a machine tool,"A robot controller (18) controlling a robot (12), the robot performing a loading and unloading operation of a workpiece relative to a machine tool (14; 16) controlled by a machine tool controller (20; 22); wherein the robot controller (18) is connected to a hand-held portable programmer used to operate the robot controller and further connected to the machine tool controller via a communication network (42);  wherein the programmer handset has a display area (46a) adapted to display various information; and  wherein the robot controller is configured to obtain information from the machine tool controller via the communication network related to the machine tool, and further configured to display on the display area of ​​the programmer hand tool a machine tool related screen in accordance with a predetermined screen program, and to cause the machine tool related screen of the display area of ​​the programmer handset to display the information as received with respect to the machine tool.",B23Q
Pressure welding machine and pressure welding method,"A pressure welding method is provided and a pressure welding machine ( 1) is provided with a frame (10), two welding heads (13, 14), mobile along a feed axis (41), and two adjusting units (17, 18). The adjusting units (17, 18) include feed drives (23) for the welding heads (13, 14). The two adjusting units (17, 18) are mounted so as to be axially movable (41) on the frame (10) and are interlinked with an adjusting drive (25) by means of a common adjusting element (26) and supported in a closed system of forces while receiving the pressure welding forces, thereby relieving the frame (10). The common adjusting element (26) is configured as a continuous spindle (27) having two self-locking threads (28, 29) that run in opposite directions.",B23K
Smartcard with coupling frame and method of increasing activation distance of a transponder chip module,"A conductive coupling frame (CF) having two ends, forming an open loop having two ends or a discontinuous metal layer disposed surrounding and closely adjacent a transponder chip module (TCM,  610), and substantially coplanar with an antenna structure (AS, CES, LES) in the transponder chip module (TCM). A metal card body (MCB, CB) or a transaction card with a discontinuous metal layer having a slit (S) or a non-conductive strip (NCS, 1034) extending from a module opening (MO) to a periphery of the card body to function as a coupling frame (CF). The coupling frame (CF) may be thick enough to be non-transparent to RF at frequencies of interest. A switch (SW) may be provided to connect ends of the coupling frame (CF) across the slit (S, 630). A reinforcing structure (RS) may be provided to stabilize the coupling frame (CF) and card body (CB). The transponder chip module (TCM) may comprise an antenna structure which may be a laser-etched antenna structure (LES) or a chemical-etched antenna structure (CES), and may comprise and a non-perforated contact pad (CP) arrangement. A coupling frame (CF) may be incorporated onto the module tape (MT, CCT) for a transponder chip module (TCM).",B23K
Numerical control device,"A numerical control device ( 1) of a machine tool capable of controlling its spindle rotating speed includes: a program analyzing unit (2) that reads ahead a machining program (6) by one block or more and analyzes a command for the machine tool; and a command determining unit (3) that determines, based on a result analyzed by the program analyzing unit (2), whether a command posterior to a spindle control command causes any machining problem when the command is executed during a spindle rotating speed change, outputs a first command, in which some problem occurs in the machining, after the spindle rotating speed reaches the commanded rotating speed, and output a second command, which is other than the first command, before the spindle rotating speed reaches the commanded rotating speed.",B23Q
Manufacturing process for hard facing aluminum injection molds,A number of variations may include a product that may include a substrate that may include an aluminum-nickel alloy and at least one surface and a coating that may include a metallic material deposited over the at least one surface via laser cladding.,B23K
Counterforce mechanism and methods of operation thereof,"A counterforce mechanism is arranged to exert a force on an object to maintain the object at a desired position. The mechanism comprises a driven body, a drive for moving the driven body, and a resilient coupling arrangement for coupling the driven body to a portion of an object. A control arrangement is arranged to output a drive signal to the driven body drive to move the driven body to a location where it exerts a force on the object via the coupling arrangement, such that the force counteracts an opposing force acting on the object and the mechanism holds the portion of the object at the desired position. A machine axis and a machine tool incorporating such a counterforce mechanism are also described, together with methods of operation thereof.",B23Q
METHOD FOR MEASURING A ROTARY AXIS OF A MACHINE TOOL SYSTEM,"The present disclosure includes a method for use on a machine tool system having a controller, three linear axes of motion and at least one rotary axis, for determining the orientation of the rotary axis relative to the linear axes, including mounting a sphere to a component of the system that rotates about the rotary axis, rotating the component to move the sphere to at least three positions about the rotary axis, measuring a center of the sphere at each of the positions by using the controller to move a a probe mounted to a spindle of the system into contact with the sphere, computing, using the controller, a plane that fits the center measurements, and computing, using the controller, a vector normal to the plane that passes through a center of rotation of an arc that lies in the plane and fits the center measurements, the vector corresponding to the orientation of the rotary axis.",B23Q
Portable machine tool,"A portable machine tool has at least one drive motor, at least one gearbox unit, at least one connecting drive train unit, and at least one actuating element. The at least one connecting drive train unit is configured to transmit a force from the at least one drive motor to the at least one gearbox unit. The at least one connecting drive train unit is also configured to bypass the at least one actuating element.",B23B
SYSTEM FOR DRILLING SMALL HOLES ; METHOD OF DRILLING A HOLE ; ARTICLE OF MANUFACTURING FOR PERFOMING DRILLING,"The present disclosure is directed toward a machine tool configured to perform small- scale, high-accuracy drilling operations for small-hole applications. The small-hole applications for which the machine tool is designed includes holes with one or more diameters. A part may have a larger-diameter hole that penetrates through a fraction of the thickness of a part and a smaller-diameter hole that penetrates from the bottom of the larger-diameter hole through the remainder of the part thickness. Additionally, the machine tool may be used with parts in any of the following categories: (i) both the step-hole and the flow-hole are created using the machine tool; or, (ii) the step-hole is created with an up-stream process and the machine tool may accept the part, measure the step- holes and create the flow-holes; or, (iii) no step-hole is used and the machine tool may accept the part, measure the raw surface and create the flow-holes.",B23B
Personalized interface for torch system and method,"There is provided a system and method for quick identification and selection of torch processes based on a profile scheme. In an illustrated embodiment, a profile selectable via a one-click process may define operational parameters for one or more torch processes. Multiple profiles may be identified by corresponding labels that are visible on the face of the system. Furthermore, in an illustrated embodiment, the profiles and associated torch processes may be automatically stored in the system upon user configuration of the operational parameters. For example, in one embodiment, the user may select a profile and configure a welding process. Upon changing an operational parameter, it may be automatically saved to the selected profile and process. Reselection of that profile may recall the last used process and its associated parameters. The operational parameters of other configured processes may then be retrieved by selecting the desired process within the selected profile.",B23K
DISPLAY APPARATUS,"There is provided a display device capable of easily recognizing which moving structure is to be operated when selectively manually operating a plurality of moving structures of a machine tool. While receiving position signals of each of the moving structures from the display 40 displaying the moving structure image, the display image data storing unit 36 storing the image data, and the numerical control device 21, the display image data storing unit 36 A display control unit 34 that reads out image data of a corresponding moving structure from ), generates a display image arranged to have a positional relationship in which each moving structure image is received, and displays it on the display 40. In addition, when a signal for selecting a moving structure to be operated from the input device 25 is input to the numerical control device 21, the display control unit 34 receives a corresponding selection signal and moves corresponding to the received selection signal. A display image emphasizing the structure image is generated and displayed on the display 40.",B23Q
